TrackingID,FrameID,LaneID,Speed
2.0,354,3,15.635980236808875
3.0,340,4,21.34804524857546
14.0,327,5,
30.0,346,1,
60.0,324,2,
107.0,421,1,16.6417352592826
137.0,476,1,11.544573028525885
189.0,416,5,26.263371782250577
333.0,482,4,27.65907843800803
348.0,462,3,
349.0,508,5,24.089863509315006
375.0,483,3,
380.0,570,1,13.648736754014266
439.0,558,5,
442.0,550,3,
499.0,594,4,26.509792436465684
513.0,609,3,27.766944641292827
523.0,583,5,
552.0,637,2,31.396066709514304
578.0,654,4,39.03080780506253
592.0,693,1,18.63093988139786
597.0,694,3,22.88800288113384
721.0,772,4,18.149375469126387
722.0,771,2,
1482.0,1033,4,18.693551628801757
1608.0,1072,5,19.672855927444125
1663.0,1076,4,23.456546387212292
1882.0,1128,3,
1899.0,1149,2,22.554485669463332
1915.0,1151,5,22.91747111960452
2012.0,1122,5,
2156.0,1218,2,
2157.0,1211,5,
2165.0,1237,3,22.444498783535938
2167.0,1198,3,
2185.0,1269,3,24.359245841281936
2189.0,1282,5,21.544658258608614
2191.0,1275,1,
2278.0,1337,5,21.83509763686185
2289.0,1260,4,
2291.0,1329,3,23.025327946379807
2373.0,1387,3,20.077691926669893
2394.0,1400,4,20.26967479880215
2403.0,1342,4,
2490.0,1444,2,20.520140913813943
2576.0,1455,4,21.857923418026743
2577.0,1489,5,18.102396590386327
2585.0,1494,3,15.26565564571447
2613.0,1498,2,18.80467672343047
2692.0,1529,3,15.647855183726547
2699.0,1535,5,19.956616093345147
2735.0,1560,3,17.915563089320145
2821.0,1592,5,19.920318718518104
2828.0,1611,3,17.91486541184416
2859.0,1626,2,18.626498323351456
2876.0,1548,1,
2892.0,1640,4,15.634559209895317
2902.0,1647,5,20.25182707891129
2907.0,1664,2,19.508885027966432
3005.0,1690,1,
3043.0,1725,3,17.871712130783397
3056.0,1710,5,18.264115078569457
3111.0,1750,1,
3116.0,1755,5,17.82185898692379
3124.0,1735,4,20.705797548671526
3130.0,1794,2,12.719128502103333
3202.0,1864,2,10.529930138308263
3228.0,1797,4,24.452477095144133
3281.0,1842,3,21.02761023606077
3300.0,1858,5,19.96354498982008
3514.0,2150,4,44.211639162159834
3520.0,2097,3,
3522.0,2052,2,
3524.0,2058,3,
3526.0,2069,4,
3548.0,2162,3,42.976596310224416
3558.0,2118,4,33.88207550023494
3626.0,2180,4,25.12494205976633
3644.0,2149,2,66.26809816505106
3724.0,2222,3,42.1960276597917
3795.0,2219,2,60.93522300822344
3824.0,2267,3,39.331366710473404
3828.0,2241,4,32.365875164233074
3938.0,2269,2,54.10491665410006
3959.0,2344,4,35.1897184103682
3978.0,2322,3,56.049713541835374
3986.0,2382,4,25.596082630786334
4224.0,2306,4,
4233.0,2380,2,66.08245861099242
4429.0,2482,1,
4440.0,2487,2,61.07275571421146
4469.0,2561,1,39.83201301616598
4553.0,2566,4,52.05386436060296
5253.0,2817,1,38.592222849753
5344.0,2810,4,54.25808021185114
5696.0,2908,4,
5697.0,2884,1,23.1796839871382
5698.0,2871,5,30.439880093127464
5702.0,2913,3,42.08188259821463
5732.0,2940,4,
5744.0,2978,4,21.7371080785299
5749.0,2963,3,30.588645909501544
5785.0,3018,4,22.27376707171563
5807.0,3021,5,30.678337108346355
5853.0,3064,4,25.10025782978549
5869.0,3073,5,27.92494902678625
5909.0,3102,3,29.071455332798642
5929.0,3124,5,31.979926895991113
5930.0,3134,4,
5945.0,3119,2,41.32767330273474
5980.0,3162,3,32.61527004162569
5984.0,3113,4,29.95342493083895
5996.0,3162,4,
6009.0,3193,4,35.93581796773846
6018.0,3246,2,
6043.0,3216,3,38.201634579575604
6072.0,3233,5,39.373174786852125
6073.0,3218,4,
6107.0,3260,4,42.02134056384865
6134.0,3256,1,
6212.0,3353,2,
6213.0,3361,4,39.61347174904224
6255.0,3393,5,
